Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Nigeria,NULL,NULL,NULL,1,19,52,171,399,522,593
Oman,NULL,NULL,NULL,NULL,2,1,5,20,11,11
Luxembourg,NULL,NULL,NULL,2,9,28,33,59,61,42
Greece,NULL,NULL,NULL,48,152,393,298,516,556,390
Uruguay,NULL,NULL,NULL,6,47,47,78,102,111,100
Kuwait,NULL,NULL,NULL,2,3,4,12,23,20,18
Switzerland,NULL,NULL,NULL,83,393,574,595,1010,978,629
Liberia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,2,NULL
Pakistan,NULL,NULL,NULL,48,121,337,454,1050,923,809
Bosnia-Herzegovina,NULL,NULL,NULL,NULL,NULL,NULL,66,NULL,NULL,NULL
Swaziland,NULL,NULL,NULL,NULL,3,NULL,3,3,8,7
I prefer not to say,NULL,NULL,NULL,NULL,NULL,NULL,140,NULL,NULL,NULL
Tadjikistan,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Sudan,NULL,NULL,NULL,NULL,4,10,12,25,42,34
Mozambique,NULL,NULL,NULL,NULL,1,1,8,21,7,7
Panama,NULL,NULL,NULL,NULL,7,13,22,32,33,24
Kiribati,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
Afghanistan,NULL,NULL,NULL,NULL,48,48,60,64,44,84
Fiji,NULL,NULL,NULL,NULL,NULL,5,3,8,5,1
Austria,NULL,NULL,NULL,66,300,482,477,788,839,539
Azerbaidjan,NULL,NULL,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL
Syria,NULL,NULL,NULL,NULL,8,13,13,NULL,NULL,NULL
Sao Tome & Principe,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Cayman Islands,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Macedonia [FYROM],NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL
Polynesia (French),NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Barbados,NULL,NULL,NULL,NULL,3,3,3,4,3,5
"Myanmar, {Burma}",NULL,NULL,NULL,NULL,13,19,NULL,NULL,NULL,NULL
Aland Islands,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Guam,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
East Timor,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Sao Tome and Principe,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL
Virgin Islands (USA),NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Saint Helena,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Central African Rep,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Albania,NULL,NULL,NULL,NULL,17,34,76,109,86,54
Republic of Moldova,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76,43,50
Myanmar,NULL,NULL,NULL,NULL,NULL,NULL,35,55,52,51
Cook Islands,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Russia,41,162,241,166,NULL,NULL,NULL,NULL,NULL,NULL
Estonia,NULL,NULL,NULL,18,51,87,90,189,195,145
Nicaragua,NULL,NULL,NULL,NULL,8,6,14,31,30,35
Slovakia,NULL,NULL,NULL,13,68,135,NULL,238,260,188
New Zealand,NULL,NULL,NULL,46,160,358,252,557,524,353
Cuba,NULL,NULL,NULL,NULL,6,24,33,65,30,22
France,60,135,232,198,776,1626,1740,2572,2391,1898
Namibia,NULL,NULL,NULL,NULL,2,3,4,6,5,8
South Korea,NULL,NULL,NULL,9,NULL,NULL,164,169,160,201
Niger,NULL,NULL,NULL,NULL,NULL,1,3,2,1,5
Bosnia Herzegovina,NULL,NULL,NULL,NULL,21,54,NULL,NULL,NULL,NULL
United Kingdom,314,589,935,721,2403,4573,4395,6221,5737,3896
Peru,NULL,NULL,NULL,11,31,49,65,128,130,101
Benin,NULL,NULL,NULL,NULL,1,2,2,10,5,9
Spain,NULL,NULL,NULL,97,605,1026,864,1769,1604,1161
American Samoa,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL
Other (please specify),NULL,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL,NULL
S. Georgia & S. Sandwich Isls.,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Solomon Islands,NULL,NULL,NULL,NULL,1,NULL,NULL,1,NULL,2
Tajikistan,NULL,NULL,NULL,NULL,1,1,NULL,4,7,4
South Sudan,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Saudi Arabia,NULL,NULL,NULL,8,27,34,52,130,98,90
Bahamas,NULL,NULL,NULL,NULL,2,7,1,6,3,3
Cambodia,NULL,NULL,NULL,2,17,15,19,60,30,31
Saint Lucia,NULL,NULL,NULL,NULL,NULL,NULL,2,1,NULL,1
Qatar,NULL,NULL,NULL,NULL,8,14,11,23,13,20
Uzbekistan,NULL,NULL,NULL,NULL,7,18,28,56,39,41
North Korea,NULL,NULL,NULL,NULL,NULL,NULL,6,4,1,1
Armenia,NULL,NULL,NULL,13,84,35,51,117,86,64
Belize,NULL,NULL,NULL,NULL,NULL,2,4,1,3,4
Iceland,NULL,NULL,NULL,5,16,26,33,45,49,53
Philippines,NULL,NULL,NULL,27,97,198,328,520,381,405
Angola,NULL,NULL,NULL,NULL,6,10,9,11,5,9
San Marino,NULL,NULL,NULL,NULL,1,1,NULL,1,2,2
Tanzania,NULL,NULL,NULL,NULL,2,10,17,NULL,NULL,NULL
Central African Republic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Jamaica,NULL,NULL,NULL,NULL,5,12,20,20,28,14
Syrian Arab Republic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56,29,13
Zambia,NULL,NULL,NULL,NULL,1,2,10,9,12,21
North America (Other),8,23,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Italy,35,110,151,125,506,1137,781,1535,1576,1117
Sri Lanka,NULL,NULL,NULL,35,61,126,170,454,372,295
Maldives,NULL,NULL,NULL,NULL,4,4,NULL,10,13,10
Guinea-Bissau,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Kosovo,NULL,NULL,NULL,NULL,2,15,NULL,NULL,NULL,34
Vanuatu,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,NULL
Montserrat,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Nomadic,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
Cape Verde,NULL,NULL,NULL,NULL,NULL,NULL,1,3,3,2
Singapore,NULL,NULL,NULL,38,70,185,177,376,303,228
Japan,NULL,NULL,NULL,20,63,167,248,361,391,297
